time,IP,SXR,FIR,PD,DML,P_LHfr_RT,LHD_label,ELM_label,ST_MD_label1,ST_MD_label2
0.0219,48278.4251993138,NaN,5.80849908628021e+18,3.53271512211808,3.40430971810098e-06,NaN,0,0,0,0
0.022,48709.222479626,NaN,5.77994398051687e+18,3.57421853177374,1.56338853672469e-06,NaN,0,0,0,0
0.0221,49149.0217372393,NaN,5.78829211729176e+18,3.52783299144553,-3.13780317218381e-06,NaN,0,0,0,0
0.0222,49496.4817809371,NaN,5.78245805907869e+18,3.49609403005703,-5.59734125140123e-06,NaN,0,0,0,0
0.0223,49622.2503814735,NaN,5.77505601492898e+18,3.47656400576117,-1.03005328900926e-05,NaN,0,0,0,0
0.0224,49708.2657107196,NaN,5.76527260910393e+18,3.4033183630121,-1.47503946656273e-05,NaN,0,0,0,0
0.0225,49919.3472599449,NaN,5.72323198627687e+18,3.33007921613128,-1.51355938757571e-05,NaN,0,0,0,0
0.0226,50368.0041963156,NaN,5.69955486823243e+18,3.34961095350326,-1.06531429276594e-05,NaN,1,0,0,0
0.0227,50995.1072749553,0.526097895693272,5.6888911724786e+18,3.33251919268406,-8.91073200657697e-06,NaN,1,0,0,0
0.0228,51597.3337665673,0.606948952076711,5.65847371796575e+18,3.41308774150373,-1.2105111917408e-05,NaN,1,0,0,0
0.0229,52048.4504945769,0.79540325879598,5.65794138273079e+18,3.35449192562849,-1.72054556609653e-05,NaN,1,0,0,0
0.023,52347.0486972586,0.563777422796903,5.60888312584301e+18,3.33496559299348,-1.85607517635317e-05,NaN,1,0,0,0
0.0231,52723.9378839914,0.559089907143163,5.63653679048281e+18,3.3544921875,-1.42843568117627e-05,NaN,1,0,0,0
